benchmark,question_number,question,query,expected_answer
GreaterManchesterCrime,1,"What are the most likely Outcome of the police investigation if the crime happen on ""street""?","SELECT   TOP 1 [Outcome]
FROM [GreaterManchesterCrime].greatermanchestercrime
WHERE    [Location] LIKE '%Street%'
GROUP BY [Outcome]
ORDER BY count(*) DESC;","The most likely outcome of the police investigation if the crime happens on a street is ""Investigation complete; no suspect identified."""
Pesticide,1,which pesticides are most used?,"SELECT   TOP 1 [pestcode]
FROM [Pesticide].resultsdata15
GROUP BY [pestcode]
ORDER BY count(*) DESC;",The most used pesticide is the one with the code 102.
StudentMathScore,1,Which federally-funded state performs worst on the NAEP math exam for eighth graders?,"SELECT   TOP 1 [state]
FROM [StudentMathScore].ndecoreexcel_math_grade8
ORDER BY [average_scale_score];",The federally-funded state that performs worst on the NAEP math exam for eighth graders is the District of Columbia.
TheHistoryofBaseball,1,"For award winners, which is the position that has the most hall of fame players?","SELECT   TOP 1 T2.[notes], COUNT(DISTINCT T2.[player_id]) as count_
FROM [TheHistoryofBaseball].hall_of_fame AS T1
     INNER JOIN [TheHistoryofBaseball].player_award AS T2
         ON T1.[player_id] = T2.[player_id]
WHERE    T1.[inducted] = 'Y'
	AND T2.[notes] IS NOT NULL AND T2.[notes] <> ''
GROUP BY [notes]
ORDER BY count_ DESC;","The position that has the most Hall of Fame players among award winners is outfielder (OF), with 50 players."
WorldSoccerDataBase,1,How many games ended in a 0-0 tie?,"SELECT count(*)
FROM   [WorldSoccerDataBase].football_data
WHERE  FTHG = 0
       AND FTAG = 0;","A total of 15,358 games ended in a 0-0 tie."
GreaterManchesterCrime,2,What is the crime rate for Eden Street area?,"SELECT count(*)
FROM [GreaterManchesterCrime].greatermanchestercrime
WHERE  [Location] LIKE '%Eden Street%';",The crime rate for the Eden Street area is 1 reported incident.
Pesticide,2,How many samples come from other countries?,"SELECT count(*)
FROM [Pesticide].sampledata15
WHERE  [origin] = '2';","There are 2,337 samples that come from other countries."
StudentMathScore,2,Which school district receives the most federal revenue in Wisconsin?,"SELECT   TOP 1 T1.[school_district]
FROM [StudentMathScore].finrev_fed_17 AS T1
     INNER JOIN [StudentMathScore].finrev_fed_key_17 AS T2
         ON T1.[state_code] = T2.[State_Code]
WHERE    T2.[State] = 'Wisconsin'
ORDER BY T1.[t_fed_rev] DESC;",The school district that receives the most federal revenue in Wisconsin is the Milwaukee City School District.
TheHistoryofBaseball,2,Who is the youngest baseball player so far?,"SELECT   TOP 1 [name_first],
               [name_last]
FROM [TheHistoryofBaseball].player
ORDER BY [birth_year] DESC;",The youngest baseball player so far is Raul Mondesi.
WorldSoccerDataBase,2,How many league division does football_data database has?,"SELECT COUNT(DISTINCT Div) AS NumOfDivisions
FROM [WorldSoccerDataBase].football_data;",The football_data database has 38 league divisions.
GreaterManchesterCrime,3,When was the last instance of a violent or sexual offense in Manchester?,"SELECT   TOP 1 [CrimeID]
FROM [GreaterManchesterCrime].greatermanchestercrime
WHERE    [Type] = 'Violence and sexual offences'
ORDER BY [CrimeTS] DESC;",The last instance of a violent or sexual offense in Manchester is associated with the CrimeID A8:24:EB:3F:79:C5.
Pesticide,3,"If sample 6480 is imported, which country is it originally from?","SELECT [country]
FROM [Pesticide].sampledata15
WHERE  [sample_pk] = 6480
       AND [origin] = 2;",Sample 6480 is originally from country 150.
StudentMathScore,3,Which state has the highest average score in math exam?,"SELECT   TOP 1 [state]
FROM [StudentMathScore].ndecoreexcel_math_grade8
ORDER BY [average_scale_score] DESC;",The state with the highest average score in the math exam is Massachusetts.
TheHistoryofBaseball,3,"For the All-Star Game MVP, who is the youngest winner?","SELECT TOP 1
        T1.[player_id],
        T1.[award_id],
        max(T1.[year] - T2.[birth_year]) AS age
FROM [TheHistoryofBaseball].player_award AS T1
     INNER JOIN [TheHistoryofBaseball].player AS T2
         ON T1.[player_id] = T2.[player_id]
WHERE T1.[award_id] = 'All-Star Game MVP'
GROUP BY T1.[player_id], T1.[award_id]
ORDER BY age ASC;","The youngest winner of the All-Star Game MVP is Ken Griffey Jr., who won the award at the age of 23."
WorldSoccerDataBase,3,How many matches did Pinnacle have betting odds for?,"SELECT count(*)
FROM   [WorldSoccerDataBase].football_data
WHERE  PSH != ''
       AND PSD != ''
       AND PSA != '';","Pinnacle had betting odds for 67,894 matches."
GreaterManchesterCrime,4,Where is the most dangerous area?,"SELECT   TOP 1 [Location]
FROM [GreaterManchesterCrime].greatermanchestercrime
GROUP BY [Location]
ORDER BY count(*) DESC;",The most dangerous area is on or near Parking Area.
Pesticide,4,What are the top 5 analyzing labs where pesticide residues detection was conducted?,"SELECT   TOP 5 [lab]
FROM [Pesticide].resultsdata15
GROUP BY [lab]
ORDER BY count(*) DESC;","The top 5 analyzing labs where pesticide residues detection was conducted are CA1, NY1, WA1, MI1, and FL1."
